threshold,far,frr
-1.0,1.0,0.0
-0.99,1.0,0.0
-0.98,1.0,0.0
-0.97,1.0,0.0
-0.96,1.0,0.0
-0.95,1.0,0.0
-0.94,1.0,0.0
-0.9299999999999999,1.0,0.0
-0.9199999999999999,1.0,0.0
-0.9099999999999999,1.0,0.0
-0.8999999999999999,1.0,0.0
-0.8899999999999999,1.0,0.0
-0.8799999999999999,1.0,0.0
-0.8699999999999999,1.0,0.0
-0.8599999999999999,1.0,0.0
-0.8499999999999999,1.0,0.0
-0.8399999999999999,1.0,0.0
-0.8299999999999998,1.0,0.0
-0.8199999999999998,1.0,0.0
-0.8099999999999998,1.0,0.0
-0.7999999999999998,1.0,0.0
-0.7899999999999998,1.0,0.0
-0.7799999999999998,1.0,0.0
-0.7699999999999998,1.0,0.0
-0.7599999999999998,1.0,0.0
-0.7499999999999998,1.0,0.0
-0.7399999999999998,1.0,0.0
-0.7299999999999998,1.0,0.0
-0.7199999999999998,1.0,0.0
-0.7099999999999997,1.0,0.0
-0.6999999999999997,1.0,0.0
-0.6899999999999997,1.0,0.0
-0.6799999999999997,1.0,0.0
-0.6699999999999997,1.0,0.0
-0.6599999999999997,1.0,0.0
-0.6499999999999997,1.0,0.0
-0.6399999999999997,1.0,0.0
-0.6299999999999997,1.0,0.0
-0.6199999999999997,1.0,0.0
-0.6099999999999997,1.0,0.0
-0.5999999999999996,1.0,0.0
-0.5899999999999996,1.0,0.0
-0.5799999999999996,1.0,0.0
-0.5699999999999996,1.0,0.0
-0.5599999999999996,1.0,0.0
-0.5499999999999996,1.0,0.0
-0.5399999999999996,1.0,0.0
-0.5299999999999996,1.0,0.0
-0.5199999999999996,1.0,0.0
-0.5099999999999996,1.0,0.0
-0.49999999999999956,0.9975,0.0
-0.48999999999999955,0.9975,0.0
-0.47999999999999954,0.9975,0.0
-0.46999999999999953,0.9975,0.0
-0.4599999999999995,0.9975,0.0
-0.4499999999999995,0.9975,0.0
-0.4399999999999995,0.9975,0.0
-0.4299999999999995,0.9975,0.0
-0.4199999999999995,0.995,0.0
-0.4099999999999995,0.995,0.0
-0.39999999999999947,0.995,0.0
-0.38999999999999946,0.995,0.0
-0.37999999999999945,0.995,0.0
-0.36999999999999944,0.995,0.0
-0.35999999999999943,0.995,0.0
-0.3499999999999994,0.995,0.0
-0.3399999999999994,0.995,0.0
-0.3299999999999994,0.995,0.0
-0.3199999999999994,0.9925,0.0
-0.3099999999999994,0.9925,0.0
-0.2999999999999994,0.9925,0.0
-0.28999999999999937,0.9925,0.0
-0.27999999999999936,0.9875,0.0
-0.26999999999999935,0.985,0.0
-0.25999999999999934,0.9825,0.0
-0.24999999999999933,0.9725,0.0
-0.23999999999999932,0.9725,0.0
-0.22999999999999932,0.97,0.0
-0.2199999999999993,0.96,0.0
-0.2099999999999993,0.9475,0.0
-0.1999999999999993,0.9425,0.0
-0.18999999999999928,0.9275,0.0
-0.17999999999999927,0.9125,0.0
-0.16999999999999926,0.8975,0.0
-0.15999999999999925,0.8775,0.0
-0.14999999999999925,0.8725,0.0
-0.13999999999999924,0.8575,0.0
-0.12999999999999923,0.8425,0.0
-0.11999999999999922,0.825,0.0
-0.10999999999999921,0.8075,0.0
-0.0999999999999992,0.795,0.0
-0.08999999999999919,0.78,0.0
-0.07999999999999918,0.76,0.0
-0.06999999999999917,0.745,0.0
-0.059999999999999165,0.74,0.0
-0.049999999999999156,0.7275,0.0
-0.03999999999999915,0.7025,0.0
-0.02999999999999914,0.6825,0.0
-0.01999999999999913,0.6475,0.0
-0.00999999999999912,0.6125,0.0016666666666666668
8.881784197001252e-16,0.59,0.0016666666666666668
0.010000000000000897,0.5625,0.0016666666666666668
0.020000000000000906,0.5375,0.0016666666666666668
0.030000000000000915,0.505,0.0016666666666666668
0.040000000000000924,0.48,0.0016666666666666668
0.05000000000000093,0.46,0.0016666666666666668
0.06000000000000094,0.4275,0.0016666666666666668
0.07000000000000095,0.4125,0.0016666666666666668
0.08000000000000096,0.3675,0.0016666666666666668
0.09000000000000097,0.345,0.0016666666666666668
0.10000000000000098,0.3225,0.0016666666666666668
0.11000000000000099,0.295,0.0016666666666666668
0.120000000000001,0.265,0.0016666666666666668
0.130000000000001,0.24,0.0016666666666666668
0.140000000000001,0.22,0.0016666666666666668
0.15000000000000102,0.205,0.0016666666666666668
0.16000000000000103,0.19,0.0016666666666666668
0.17000000000000104,0.17,0.0016666666666666668
0.18000000000000105,0.1575,0.0016666666666666668
0.19000000000000106,0.1575,0.0016666666666666668
0.20000000000000107,0.135,0.0016666666666666668
0.21000000000000107,0.12,0.0016666666666666668
0.22000000000000108,0.11,0.0016666666666666668
0.2300000000000011,0.1,0.0016666666666666668
0.2400000000000011,0.085,0.0016666666666666668
0.2500000000000011,0.075,0.0016666666666666668
0.2600000000000011,0.07,0.0016666666666666668
0.27000000000000113,0.065,0.0016666666666666668
0.28000000000000114,0.0625,0.0016666666666666668
0.29000000000000115,0.05,0.0016666666666666668
0.30000000000000115,0.0475,0.0016666666666666668
0.31000000000000116,0.0375,0.0016666666666666668
0.3200000000000012,0.03,0.0016666666666666668
0.3300000000000012,0.025,0.0033333333333333335
0.3400000000000012,0.0225,0.0033333333333333335
0.3500000000000012,0.015,0.005
0.3600000000000012,0.0125,0.006666666666666667
0.3700000000000012,0.01,0.006666666666666667
0.3800000000000012,0.005,0.008333333333333333
0.39000000000000123,0.005,0.01
0.40000000000000124,0.0025,0.01
0.41000000000000125,0.0025,0.01
0.42000000000000126,0.0025,0.011666666666666667
0.43000000000000127,0.0,0.011666666666666667
0.4400000000000013,0.0,0.011666666666666667
0.4500000000000013,0.0,0.013333333333333334
0.4600000000000013,0.0,0.018333333333333333
0.4700000000000013,0.0,0.018333333333333333
0.4800000000000013,0.0,0.021666666666666667
0.4900000000000013,0.0,0.03
0.5000000000000013,0.0,0.035
0.5100000000000013,0.0,0.04
0.5200000000000014,0.0,0.04833333333333333
0.5300000000000014,0.0,0.051666666666666666
0.5400000000000014,0.0,0.06166666666666667
0.5500000000000014,0.0,0.07
0.5600000000000014,0.0,0.07333333333333333
0.5700000000000014,0.0,0.07833333333333334
0.5800000000000014,0.0,0.09333333333333334
0.5900000000000014,0.0,0.10666666666666667
0.6000000000000014,0.0,0.11333333333333333
0.6100000000000014,0.0,0.125
0.6200000000000014,0.0,0.14
0.6300000000000014,0.0,0.15333333333333332
0.6400000000000015,0.0,0.16666666666666666
0.6500000000000015,0.0,0.17833333333333334
0.6600000000000015,0.0,0.21333333333333335
0.6700000000000015,0.0,0.22666666666666666
0.6800000000000015,0.0,0.25166666666666665
0.6900000000000015,0.0,0.26666666666666666
0.7000000000000015,0.0,0.295
0.7100000000000015,0.0,0.31833333333333336
0.7200000000000015,0.0,0.335
0.7300000000000015,0.0,0.36833333333333335
0.7400000000000015,0.0,0.395
0.7500000000000016,0.0,0.42333333333333334
0.7600000000000016,0.0,0.4533333333333333
0.7700000000000016,0.0,0.49166666666666664
0.7800000000000016,0.0,0.5383333333333333
0.7900000000000016,0.0,0.5916666666666667
0.8000000000000016,0.0,0.63
0.8100000000000016,0.0,0.6633333333333333
0.8200000000000016,0.0,0.7033333333333334
0.8300000000000016,0.0,0.7383333333333333
0.8400000000000016,0.0,0.775
0.8500000000000016,0.0,0.8166666666666667
0.8600000000000017,0.0,0.8566666666666667
0.8700000000000017,0.0,0.8766666666666667
0.8800000000000017,0.0,0.9083333333333333
0.8900000000000017,0.0,0.93
0.9000000000000017,0.0,0.9433333333333334
0.9100000000000017,0.0,0.9633333333333334
